position,token_str,logit_diff,prob_io,prob_s,logit_io,logit_s
0,<|endoftext|>,2.293424606323242,6.239218237169553e-06,6.296635319813504e-07,2.8617591857910156,0.5683345794677734
1,When,1.6477651596069336,0.0013199658133089542,0.00025406645727343857,8.088190078735352,6.440424919128418
2, David,0.6279458999633789,0.000610708782915026,0.00032592727802693844,8.636935234069824,8.008989334106445
3, and,2.0767650604248047,0.011721204034984112,0.0014690771931782365,13.5327730178833,11.456007957458496
4, Henry,-1.0414867401123047,0.0005230500246398151,0.00148202374111861,8.015680313110352,9.057167053222656
5, visited,0.5267486572265625,0.0011863922700285912,0.000700590549968183,9.200545310974121,8.673796653747559
6, the,-0.728668212890625,0.00012872423394583166,0.00026675767730921507,6.168669700622559,6.897337913513184
7, restaurant,0.2583656311035156,0.00023434765171259642,0.0001809896930353716,8.37765121459961,8.119285583496094
8,",",-1.2680797576904297,0.013470929116010666,0.04787597432732582,12.079567909240723,13.347647666931152
9, Henry,0.7996902465820312,1.9658056771731935e-05,8.835670996631961e-06,7.792550086975098,6.992859840393066
10, handed,1.5455598831176758,0.12738613784313202,0.027157768607139587,15.692882537841797,14.147322654724121
11, the,-0.5256972312927246,9.576862066751346e-05,0.0001620058319531381,6.568924903869629,7.0946221351623535
12, letter,0.1477193832397461,0.00010691385978134349,9.223171946359798e-05,8.247939109802246,8.1002197265625
13, to,1.915262222290039,0.20533281564712524,0.030246179550886154,15.092300415039062,13.177038192749023
