group_label,n_heads_patched,heads,same_task_recovery,same_task_ci_lo,same_task_ci_hi,pronoun_to_ioi_recovery,pronoun_to_ioi_ci_lo,pronoun_to_ioi_ci_hi,ioi_to_pronoun_recovery,ioi_to_pronoun_ci_lo,ioi_to_pronoun_ci_hi,mean_cross_task_recovery
Name Mover Group (A),4,"[(8, 6), (8, 10), (5, 5), (7, 9)]",-1.0038,-4.91,1.5341,-2.2425,-10.5401,3.7009,-0.0026,-0.0474,0.0476,-1.1225
NM + S-Inhibition (B),5,"[(5, 5), (7, 3), (7, 9), (8, 6), (8, 10)]",-1.9491,-7.6347,1.276,-2.2747,-12.3467,5.3452,0.0854,0.038,0.1409,-1.0947
