source_layer,source_head,source_label,target_layer,target_head,target_label,source_importance,target_importance,estimated_edge_weight,edge_type,layer_gap
7,9,L7H9,11,3,L11H3,-0.050597,0.07484,-0.003787,long_range,4
9,7,L9H7,10,6,L10H6,-0.057526,0.070074,-0.004031,adjacent_layer,1
7,9,L7H9,11,6,L11H6,-0.050597,0.08028,-0.004062,long_range,4
9,7,L9H7,11,3,L11H3,-0.057526,0.07484,-0.004305,short_range,2
7,9,L7H9,10,10,L10H10,-0.050597,0.088613,-0.004484,short_range,3
9,7,L9H7,11,6,L11H6,-0.057526,0.08028,-0.004618,short_range,2
4,11,L4H11,7,9,L7H9,0.098528,-0.050597,-0.004985,short_range,3
9,7,L9H7,10,10,L10H10,-0.057526,0.088613,-0.005098,adjacent_layer,1
7,9,L7H9,9,9,L9H9,-0.050597,0.107176,-0.005423,short_range,2
4,11,L4H11,9,7,L9H7,0.098528,-0.057526,-0.005668,long_range,5
7,9,L7H9,10,2,L10H2,-0.050597,0.114471,-0.005792,short_range,3
7,9,L7H9,9,6,L9H6,-0.050597,0.125418,-0.006346,short_range,2
9,7,L9H7,10,2,L10H2,-0.057526,0.114471,-0.006585,adjacent_layer,1
7,9,L7H9,9,8,L9H8,-0.050597,0.174547,-0.008832,short_range,2
7,9,L7H9,11,2,L11H2,-0.050597,0.196306,-0.009932,long_range,4
7,9,L7H9,10,0,L10H0,-0.050597,0.212147,-0.010734,short_range,3
9,7,L9H7,11,2,L11H2,-0.057526,0.196306,-0.011293,short_range,2
9,7,L9H7,10,0,L10H0,-0.057526,0.212147,-0.012204,adjacent_layer,1
