head_label,layer,head,head_type,same_task_recovery,same_task_ci_lo,same_task_ci_hi,pronoun_to_ioi_recovery,pronoun_to_ioi_ci_lo,pronoun_to_ioi_ci_hi,ioi_to_pronoun_recovery,ioi_to_pronoun_ci_lo,ioi_to_pronoun_ci_hi,mean_cross_task_recovery
L8H6,8,6,Name Mover,-0.0446,-0.4636,0.3418,0.071,-1.1843,1.1691,-0.0396,-0.0571,-0.0222,0.0157
L8H10,8,10,Name Mover,-0.525,-2.4926,0.7648,0.0058,-0.9329,1.0052,-0.0311,-0.0603,-0.0011,-0.0126
L5H5,5,5,Name Mover,-0.0374,-0.3534,0.2349,-0.5958,-3.0295,1.4095,0.014,0.0047,0.0228,-0.2909
L7H9,7,9,Name Mover,-0.2399,-1.4633,0.7113,0.0266,-1.8057,1.9593,0.0719,0.0567,0.0898,0.0492
L10H0,10,0,Helper,2.2745,-0.0276,8.0297,1.694,-0.0761,4.2811,0.2072,0.1747,0.2425,0.9506
L9H8,9,8,Helper,0.5954,-0.4165,2.2539,0.1746,-0.9751,1.4717,0.0404,0.026,0.0557,0.1075
L9H6,9,6,Helper,1.3651,-0.0655,5.1648,-0.2597,-5.2147,4.2881,-0.0377,-0.0607,-0.0153,-0.1487
L0H0,0,0,Neutral Control,-0.0427,-0.2142,0.0489,0.0838,-0.031,0.2859,-0.0095,-0.0142,-0.0054,0.0371
L2H2,2,2,Neutral Control,-0.0347,-0.1945,0.0958,-0.1464,-0.5993,0.2034,-0.0155,-0.0305,-0.0035,-0.0809
