23:58:04 | INFO     | circuitscope.head_ablation | get_logger:126 | [get_logger] Log file: C:\Users\nitin\OneDrive\Desktop\CircuitScope\outputs\logs\circuitscope_20260730_235804.log
23:58:04 | INFO     | circuitscope.head_ablation | main:74 | Loading model…
23:58:08 | INFO     | circuitscope.head_ablation | main:77 | Generating dataset…
23:58:09 | INFO     | circuitscope.head_ablation | main:85 | Running head ablation sweep: 144 heads × 200 prompts…
  This will take ~144 minutes on GPU.
23:58:09 | INFO     | circuitscope.head_ablation | main:98 | Computing mean z-cache…
23:58:12 | INFO     | circuitscope.head_ablation | main:102 | Running 144-head ablation sweep…
00:05:59 | INFO     | circuitscope.head_ablation | main:106 | Head ablation complete in 470.2s
00:05:59 | INFO     | circuitscope.head_ablation | main:131 | Generating head ablation plots…
00:09:25 | INFO     | circuitscope.head_ablation | main:145 | ✓ Head ablation experiment complete.
