23:52:22 | INFO     | circuitscope.layer_ablation | get_logger:126 | [get_logger] Log file: C:\Users\nitin\OneDrive\Desktop\CircuitScope\outputs\logs\circuitscope_20260730_235222.log
23:52:22 | INFO     | circuitscope.layer_ablation | main:65 | Loading model…
23:52:29 | INFO     | circuitscope.layer_ablation | main:68 | Generating dataset…
23:52:29 | INFO     | circuitscope.layer_ablation | main:76 | Running layer ablation sweep (200 prompts)…
23:52:29 | INFO     | circuitscope.layer_ablation | main:86 | Computing mean activation cache…
23:52:32 | INFO     | circuitscope.layer_ablation | main:90 | Running 36-ablation sweep…
23:54:31 | INFO     | circuitscope.layer_ablation | main:94 | Layer ablation complete in 121.8s
23:54:31 | INFO     | circuitscope.layer_ablation | main:117 | Generating ablation plots…
23:55:29 | INFO     | circuitscope.layer_ablation | main:130 | ✓ Layer ablation experiment complete.
