01:59:42 | INFO     | circuitscope.pronoun | get_logger:126 | [get_logger] Log file: C:\Users\nitin\OneDrive\Desktop\CircuitScope\outputs\logs\circuitscope_20260731_015942.log
01:59:42 | INFO     | circuitscope.pronoun | main:101 | Loading model…
01:59:50 | INFO     | circuitscope.pronoun | main:108 | Generating pronoun dataset (500 prompts)…
01:59:50 | INFO     | circuitscope.pronoun | main:115 | Pronoun dataset: 500 prompts generated
01:59:50 | INFO     | circuitscope.pronoun | main:118 | Running pronoun task baseline evaluation…
02:00:00 | INFO     | circuitscope.pronoun | main:181 | Pronoun task baseline: acc=98.2%, mean_ld=+3.2404
02:00:00 | INFO     | circuitscope.pronoun | main:193 | Running head ablation on pronoun task...
02:01:53 | INFO     | circuitscope.pronoun | main:210 | Loaded IOI eval results: 1000 rows
02:01:53 | INFO     | circuitscope.pronoun | main:213 | Loaded IOI head ablation: 144 rows
02:01:58 | INFO     | circuitscope.pronoun | main:350 | ✓ Novel extension experiment complete.
